事業所名称,事業所郵便番号,事業所所在地
児童発達支援・放課後等デイサービスＯｈａｎａ・Pono,５９６－００２３,大阪府岸和田市八幡町１番10号１階
児童デイサービス　パピプケア,596-0823,大阪府岸和田市下松町5062番地
フタール岸和田,596-0045,大阪府岸和田市別所町一丁目14番28号　Ｋ・ル・フタールビル３階・５階
児童デイサービス　こもっこ　岸和田,596-0821,大阪府岸和田市小松里町2076番
ファーストクラス久米田校,596-0812,大阪府岸和田市大町475番地の19久米田ショッピングセンター201号室
ふりすくもーど,596-0813,大阪府岸和田市池尻町211
清流の家　春木,596-0006,大阪府岸和田市春木若松町３番27号
児童発達支援・放課後等デイサービス　ＧＯ,596-0004,大阪府岸和田市荒木町二丁目５番２号　Ｍ’ｓビル４階401号室
児童デイサービスｍａｆａ,596-0044,大阪府岸和田市西之内町７番21号１階
放課後等デイサービス　ピリナ,596-0003,大阪府岸和田市中井町三丁目18番25号
ウルぱあに,596-0825,大阪府岸和田市土生町三丁目14番27号川口ビル２Ｆ
こどもパークゆめっこ,596-0073,大阪府岸和田市岸城町28番36号
放課後等デイサービスＯＲＡＮＧＥ,596-0821,大阪府岸和田市小松里町2416番地
ちびこば岸和田,596-0002,大阪府岸和田市吉井町一丁目14番27号
ぽけっと,596-0825,大阪府岸和田市土生町六丁目４番44号
重心・医ケア児専門　児童デイサービス　ひなたぼっこ,596-0035,大阪府岸和田市春木泉町16番９号
児童発達支援・放課後等デイサービス　Ｂａｍｂｉｎｏ,５９３－０８２１,大阪府岸和田市小松里町2137番地
岸和田こども総合支援研究所　こころＢＬＩＳＳ,596-0821,大阪府岸和田市小松里町325番７の２　２階
ファーストクラス岸和田駅前校,596-0054,大阪府岸和田市宮本町18番７号ＳＡＫＵＲＡビル３階301号室
ＨＡｈａｈａ スマイル,596-0825,大阪府岸和田市土生町五丁目３番29号　第一フジコーマンション５Ａ－１
はっぴーすまいる,563-0021,大阪府池田市畑一丁目５番29号
ゴールデンハウス,563-0024,大阪府池田市鉢塚一丁目８番２号
スマイルファクトリー,563-0017,大阪府池田市伏尾台二丁目11番地
児童発達支援・放課後等デイサービスＯｈａｎａ（オハナ）,563-0042,大阪府池田市宇保町７番１号
やわらソレイユ,563-0032,大阪府池田市石橋二丁目14番11号１階
デイサービスＳunはーと,563-0033,"大阪府池田市住吉一丁目14番25号103号,203号"
Ｏｈａｎａ緑丘,563-0026,大阪府池田市緑丘一丁目７番21号
スポーツとまなびのひろばＳＡＩＹＯ池田校,563-0025,大阪府池田市城南一丁目３番21号豊岡ビル２Ｆ
Ｒ．Ｅ．Ａ．Ｄ．Ｄ．,563-0058,大阪府池田市栄本町４番24号
ＭＯＭＢ池田,563-0043,大阪府池田市神田一丁目32番17号　Bellino　１Ｂ号
はっぴーすてっぷ,563-0022,大阪府池田市旭丘一丁目８番16号旭丘プラザ102号室
ぶるーべりー石橋,563-0033,大阪府池田市住吉一丁目14番23号１階ベルクサイト101号室
ｃｏｃｏｒｏ,563-0021,大阪府池田市畑五丁目１番20号
ウキウキはなさく石橋教室,563-0023,大阪府池田市井口堂一丁目６番19号マエシカ井口堂店舗１F
ステップ池田,563-0042,大阪府池田市宇保町９番21号
児童発達支援・放課後等デイサービスｃｏｒｅ　ｋｉｄｓ,563-0055,大阪府池田市菅原町11番４号　ＢＥＮＩＹＡⅡ２階・３階
ながれぼし,563-0033,大阪府池田市住吉二丁目６番17号TNG住吉ビル１Ｆ
ぶるーべりー池田,563-0031,大阪府池田市天神一丁目３番12号
ハーティワン桃園,563-0045,大阪府池田市桃園一丁目7番18号スプリングリバーⅡ101
放課後等デイサービス　わんダフル,563-0033,大阪府池田市住吉一丁目４番３号　長澤マンション101号室
ＫＯＫＯＩＲＯ,563-0025,大阪府池田市城南三丁目２番13号シャーメゾンラピス１階
ドレミファソライズＦＣ池田,５６３－００３８,大阪府池田市荘園二丁目１番４号
るる,563-0032,大阪府池田市石橋一丁目23番13-101号
ハーティワンおりいぶ,563-0058,大阪府池田市栄本町９番６号　２階・３階・４階
フォレストキッズ池田教室,563-0025,大阪府池田市城南一丁目２番２号コンフォートプレイス１階
キックオフ,563-0059,大阪府池田市西本町６番17号メゾンクレール201号室
レコルダＣラボ,563-0025,大阪府池田市城南一丁目４番４号　松村事務所　２階１号室
コアキッズ・ケア,563-0055,大阪府池田市菅原町１番14号
ＭＯＭＢ石橋,563-0032,大阪府池田市石橋三丁目1番21号モンジット1階
明武館療育クラブ,563-0032,大阪府池田市石橋二丁目１４番１１号
放課後等デイサービスＨＡＲＵ池田,563-0023,大阪府池田市井口堂一丁目９番26号　アーユス井口堂西棟２階２号室
あん放課後等デイサービス,563-0022,大阪府池田市旭丘一丁目11番19号東光ビル１階
児童発達支援・放課後等デイサービス　ソラーレ神田,563-0043,大阪府池田市神田二丁目17番６号
児童発達支援・放課後等デイサービス　ここふる,563-0024,大阪府池田市鉢塚三丁目15番２号メゾンさつき１階106号室
ＮＰＯ法人つぼみ,563-0032,大阪府池田市石橋二丁目13番29号２階
ワナビー城南,563-0025,大阪府池田市城南一丁目９番22号ＡＸＩＳ池田グリーンプラザⅠ　２Ｆ－Ｄ
多機能型事業所Ｇｏｏｔｅｌａ,563-0031,大阪府池田市天神一丁目10番19号
療育センターエコルド,563-0032,大阪府池田市石橋三丁目１番11号大空第２ビル１階、３階
エントランス　リバティ　池田教室,563-0025,大阪府池田市城南二丁目２番１号ハイツ木下１階103号
ＫＯＫＯＩＲＯ　ＰＡＧＥ,563-0023,大阪府池田市井口堂一丁目２番２号ラヴィータ石橋阪大前101号室
これからも石橋阪大前,563-0032,大阪府池田市石橋二丁目17番12号杉山ビル201号室
るるｐｌｕｓ,563-0038,大阪府池田市荘園二丁目１番４号
ILIS　CLUB泉大津,595-0024,大阪府泉大津市池浦町一丁目２番18号
ファンタジー,595-0024,大阪府泉大津市池浦町四丁目８番18号
清流の家　泉大津,595-0071,大阪府泉大津市助松町二丁目４番10号
児童発達支援・放課後等デイサービスろはすの家,595-0015,大阪府泉大津市二田町一丁目20番19号
さんＳＵＮアフタースクール泉大津,595-0043,大阪府泉大津市清水町１番40号
はぐハウスⅡ,595-0071,大阪府泉大津市助松町三丁目１－25　ビーチマンションⅡ１階102号
運動学習支援教室　みらいずジュニア,595-0023,大阪府泉大津市豊中町二丁目14番９号豊中ビル１階・２階
児童発達支援・放課後等デイサービス　ろはすの家　つぼみ,595-0015,大阪府泉大津市二田町三丁目４番15号
ツリーハウス　泉大津教室,595-0024,大阪府泉大津市池浦町一丁目７番４号
こどもサポートばんびーに,595-0013,大阪府泉大津市宮町10番5号
児童発達支援　ぱぴぷ,595-0021,大阪府泉大津市東豊中町三丁目14番12号　新井ビル１階
ジャンプ泉大津,595-0014,大阪府泉大津市寿町14番１号
あすなろ,595-0024,大阪府泉大津市池浦町二丁目14番27号
ツリーハウスＳＴＵＤＹ　泉大津教室,595-0024,大阪府泉大津市池浦町一丁目７番４号
放課後デイサービス絆Ⅱ,595-00044,大阪府泉大津市千原町二丁目８番15号
