事業所名称,事業所郵便番号,事業所所在地
児童発達支援・放課後等デイサービス幸樹,546-0022,大阪府大阪市東住吉区住道矢田七丁目１番１５号　 
放課後等デイサービスビービー,546-0022,大阪府大阪市東住吉区住道矢田七丁目１５番１７号　 
もくれん　ジェニー,546-0023,大阪府大阪市東住吉区矢田六丁目８番７号　 
もくれん　ジェニー２　（ｔｏｏ）,546-0023,大阪府大阪市東住吉区矢田三丁目７番６号　ルームハイツ２　１Ｆ
キンダーハイム地域支援事業,546-0023,大阪府大阪市東住吉区矢田六丁目８番２９号　 
放課後等デイサービス　アエタ,546-0023,大阪府大阪市東住吉区矢田一丁目６番１６号　グレース長居公園１階
サポートセンター　すたぁりっと,546-0023,大阪府大阪市東住吉区矢田一丁目２０番４号　シティハイム長居公園通１Ｆ
すたぁりっと　ジュニア,546-0023,大阪府大阪市東住吉区矢田五丁目１２番１８号　 
ホッグ東住吉,546-0024,大阪府大阪市東住吉区公園南矢田一丁目１番１０号　ヒラクハイツ１０１号
児童発達支援・放課後等デイサービス　カカんち,546-0024,大阪府大阪市東住吉区公園南矢田三丁目１３番３０号　 
児童デイサービス　からふる　田辺,546-0031,大阪府大阪市東住吉区田辺六丁目７番１４号　 
ステラ,546-0031,大阪府大阪市東住吉区田辺二丁目７番２１号　カーサ小林１階
あすぷれい　田辺校,546-0031,大阪府大阪市東住吉区田辺六丁目７番３１号　ルミエール田辺１０１号室
児童発達支援・放課後等デイサービス　チューリップ,546-0031,大阪府大阪市東住吉区田辺三丁目２６番９号　エレガンスコーポ南田辺１階
ブロッサムジュニア　東住吉教室,546-0031,大阪府大阪市東住吉区田辺六丁目１１番２５号　ドムール大倉１Ｆ
ちゃんぷる,546-0032,大阪府大阪市東住吉区東田辺二丁目１６番５号　 
児童発達支援・放課後等デイサービス　ＦＵＪＩ東田辺,546-0032,大阪府大阪市東住吉区東田辺二丁目２２番１４号　ウィステリア東田辺１Ｆ
児童発達支援・児童デイサービスＢｒｉｄｇｅ　南田辺,546-0033,大阪府大阪市東住吉区南田辺一丁目１０番２３ー１０８、１０９号　 
運動発達支援スタジオ笑みりぃ～東住吉,546-0033,大阪府大阪市東住吉区南田辺五丁目２８番３６号　 
まなび家大阪,546-0033,大阪府大阪市東住吉区南田辺一丁目７番１６号　 
大阪発達総合療育センター　みらい,546-0035,大阪府大阪市東住吉区山坂五丁目１２番５号　 
児童デイサービスさくらいろ,546-0035,大阪府大阪市東住吉区山坂四丁目５番２号　 
コミュニケーション育成型児童デイぐりーてぃんぐ,546-0035,大阪府大阪市東住吉区山坂三丁目３番２９号　ヴィラ山阪太平１ＡＢ
スパークル・スポーツクラブ,546-0035,大阪府大阪市東住吉区山坂三丁目５番１５号　 
児童発達支援・放課後等デイサービス　らいく,546-0035,大阪府大阪市東住吉区山坂一丁目１５番２３号　リエス山坂１０３号
ウェル,546-0035,大阪府大阪市東住吉区山坂四丁目５番１５号　 
運動療育型児童デイ　クライムアップ　桑津教室,546-0041,大阪府大阪市東住吉区桑津二丁目６番２３号　ジョイホームズ１Ｆ
めるへん,546-0041,大阪府大阪市東住吉区桑津四丁目１番１号　メランジュ天王寺東２Ｆ
リアム東住吉,546-0041,大阪府大阪市東住吉区桑津一丁目３１番１４号　キングスコート桑津１０１号室
おひさま,546-0041,大阪府大阪市東住吉区桑津四丁目６番１８号　ハートフルリビングなでしこ桑津
プラムステージ,546-0042,大阪府大阪市東住吉区西今川三丁目１９番１７号１Ｆ　 
ＣＡＮ－ＤＡＹ,546-0042,大阪府大阪市東住吉区西今川四丁目２０番１７号　 
ｓｅｎｊｕ＋ｐｌｕｓ,546-0042,大阪府大阪市東住吉区西今川二丁目１１番２号　遠藤マンション１－Ｂ．１－Ｃ
児童発達支援・放課後等デイサービス　なないろ,546-0042,大阪府大阪市東住吉区西今川二丁目１３番１－１０１号　 
児童ディサービス・ハートフレンド,546-0042,大阪府大阪市東住吉区西今川二丁目８番１号１０１号室　 
運動療育型児童デイ　クライムアップ,546-0043,大阪府大阪市東住吉区駒川一丁目９番４号　 
陽なたぼっこ,546-0043,大阪府大阪市東住吉区駒川三丁目１５番９－１０７号　 
アイオライトＶｉｔａ,546-0043,大阪府大阪市東住吉区駒川一丁目１１番１５号　２階
すたぁりっと１ｓｔ,546-0043,大阪府大阪市東住吉区駒川五丁目６番１８号　エムズコート１Ｆ
放課後等デイサービス　ともいきスクール,546-0043,大阪府大阪市東住吉区駒川五丁目１６番８号　２階
児童発達支援・放課後等デイサービスあちーぶあどべんちゃー,546-0043,大阪府大阪市東住吉区駒川四丁目９番１５号　 
きっず・すて～しょん　かめれおん,546-0043,大阪府大阪市東住吉区駒川二丁目２番１７号　パークサイド駒川１０３号
トーテム,547-0001,大阪府大阪市平野区加美北三丁目８番２３号　 
こども発達サポート運動療育のかがやき,547-0002,大阪府大阪市平野区加美東四丁目２番３３－１０２号　 
希望の花　ひまわり,547-0003,大阪府大阪市平野区加美南五丁目８番１８号　不動化学ビル１Ｆ
ユメノート,547-0005,大阪府大阪市平野区加美西二丁目４番１号　 
運動療育パスドゥーロきらめき,547-0006,大阪府大阪市平野区加美正覚寺二丁目５番３８号　タイセイビル５号
機能アップ型　スモールステップ　ワンダー,547-0011,大阪府大阪市平野区長吉出戸六丁目１２番２０号　 
ライズ児童デイサービスひらのの家,547-0011,大阪府大阪市平野区長吉出戸六丁目１５番２０号　メゾンドール１階
ふわり,547-0011,大阪府大阪市平野区長吉出戸四丁目３番５号１０４　 
放課後等デイサービスぱうわう,547-0011,大阪府大阪市平野区長吉出戸六丁目１４番１５号　 
児童デイサービス　からふる　六反,547-0012,大阪府大阪市平野区長吉六反一丁目１２番１３号　 
チャレンジハウスＨＥＲＯ,547-0013,大阪府大阪市平野区長吉長原東三丁目２番３４号　グランドールＦ１０１号室
児童デイサービス　どれみ,547-0013,大阪府大阪市平野区長吉長原東三丁目２番３４号　グランドールＦ　１０６号室
永寿の里　若葉（ひなたぼっこ）,547-0014,大阪府大阪市平野区長吉川辺三丁目２０番１４号　 
うらら,547-0014,大阪府大阪市平野区長吉川辺一丁目５番１１号　 
放課後等デイサービス　にじいろ倶楽部,547-0014,大阪府大阪市平野区長吉川辺三丁目１５番８号　 
児童デイサービス　からふる　出戸,547-0015,大阪府大阪市平野区長吉長原西一丁目３番７号　尚幸ビル１０２号室
キッズムーブ,547-0015,大阪府大阪市平野区長吉長原西二丁目６番２７号　 
集団療育センター　ＬＩＢ平野,547-0015,大阪府大阪市平野区長吉長原西一丁目３番１３号　ウノスビル１Ｆ
ダンススタジオあろは,547-0016,大阪府大阪市平野区長吉長原一丁目９番６号　１０３号
キッズ,547-0016,大阪府大阪市平野区長吉長原四丁目１３番２７号　 
ひまわりハウス,547-0016,大阪府大阪市平野区長吉長原四丁目１５番３１号　 
放課後等デイサービストラスト,547-0016,大阪府大阪市平野区長吉長原三丁目１６番２２号　クアルテル１Ｆ１０３号室
運動療育特化型児童デイぽぷらの樹平野,547-0022,大阪府大阪市平野区瓜破東二丁目７番５５号　サンヴィレッジ１０３号室
児童デイサービス　からふる　ＢＡＭＢＩＮ　１,547-0024,大阪府大阪市平野区瓜破二丁目１番７６号　サンシャインビル４Ｆ
ぐりったぁー,547-0024,大阪府大阪市平野区瓜破四丁目２番２９号　明地ビル１階
ぶるぅばぁど,547-0024,大阪府大阪市平野区瓜破六丁目７番１８号　 
Ｏ・ｈａ・ｎａ,547-0024,大阪府大阪市平野区瓜破一丁目１１番１２号　 
スカイ・ジェミニ,547-0024,大阪府大阪市平野区瓜破一丁目２番２６号　１Ｆ
スカイ・ジェミニ,547-0024,大阪府大阪市平野区瓜破二丁目１番６４号　平野ビル２０６号室
トミオカコネクト　平野教室,547-0025,大阪府大阪市平野区瓜破西二丁目７番４９号　ニューロータスライフ２Ｆ
放課後等デイサービスＨｏｎｅｓｔ,547-0025,大阪府大阪市平野区瓜破西三丁目１１番２５号　 
ｂａｍ,547-0027,大阪府大阪市平野区喜連四丁目１７番３号　１Ａ
デイサービスにこにこ庵,547-0031,大阪府大阪市平野区平野南二丁目１番７号　 
ケアラ,547-0031,大阪府大阪市平野区平野南二丁目７番１号　 
ケアラ　エルア,547-0031,大阪府大阪市平野区平野南二丁目４番２２号　 
児童発達支援・放課後等デイサービス　リミックス,547-0031,大阪府大阪市平野区平野南一丁目２番２５号　 
放課後等デイサービス　フィール,547-0032,大阪府大阪市平野区流町三丁目１６番２４号　 
ＦＣ．ＬＩＧ,547-0032,大阪府大阪市平野区流町一丁目７番７号　昭和ビル３０１
やわらのココロ　放課後等デイサービス,547-0032,大阪府大阪市平野区流町一丁目６番６号　東ビル２Ｆ
放課後等デイサービスくれよん（藍）,547-0033,大阪府大阪市平野区平野西一丁目７番１４号　１Ｆ
デイサービスまりも平野,547-0033,大阪府大阪市平野区平野西六丁目３番２２号　カサ・エルドラード弐番館１０６
児童デイサービス・ポラリス,547-0033,大阪府大阪市平野区平野西三丁目８番７号　 
放課後等デイサービスくれよん（ひらの）,547-0033,大阪府大阪市平野区平野西一丁目７番１４号　２Ｆ
サポートセンター　すたぁりっと平野,547-0033,大阪府大阪市平野区平野西五丁目１番１１号　富士グリーンハイツ２０１号
りんくⅡ,547-0033,大阪府大阪市平野区平野西四丁目２番８号　Ｄ’Ｓ平野西ビル３階
放課後等デイサービス　Ｗｅａｖｅ,547-0033,大阪府大阪市平野区平野西六丁目１番２５号　 
放課後等デイサービス　Ｋｎｏｔ,547-0033,大阪府大阪市平野区平野西三丁目６番１９号　１階
ＣＵきっず平野西,547-0033,大阪府大阪市平野区平野西六丁目６番６号　 
ａｌｕｋｏ,547-0033,大阪府大阪市平野区平野西五丁目３番１０号　２０２号室
ぷち・フォーレ,547-0034,大阪府大阪市平野区背戸口四丁目１１番１２号　 
ユニバーサルスポーツ　Ｌｅｔ’ｓ　Ｔｒｙ,547-0034,大阪府大阪市平野区背戸口一丁目１１番１８号　 
りんく,547-0035,大阪府大阪市平野区西脇二丁目６番１２号　平野エアクリアロイヤルハイツ１０２号
デイＰＯＰ,547-0035,大阪府大阪市平野区西脇四丁目１番３４号　 
こどもの家まほろば,547-0043,大阪府大阪市平野区平野東二丁目１番７号　アンシャンテ平野１Ｆ
いろは放課後等デイサービス,547-0043,大阪府大阪市平野区平野東一丁目１番１０号　 
デイサービスまりも平野東,547-0043,大阪府大阪市平野区平野東四丁目３番１０号　 
デイサービスまりも平野東＆,547-0043,大阪府大阪市平野区平野東四丁目３番１０号　３Ｆ
